"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 18 09:41:23 UTC 2026","Fri Sep 18 09:41:23 UTC 2026","166","","config.VideoGameNegativeTests","","config.VideoGameNegativeTests","getSingleGame_NegativeId","getSingleGame_NegativeId","Returns 404 when requesting a game with a negative ID"
"passed","Fri Sep 18 09:41:25 UTC 2026","Fri Sep 18 09:41:25 UTC 2026","150","","config.VideoGameTests","","config.VideoGameTests","getSingleGameVerifyFields","getSingleGameVerifyFields","Verifies key fields on a single game response"
"passed","Fri Sep 18 09:41:26 UTC 2026","Fri Sep 18 09:41:26 UTC 2026","191","","config.VideoGameTests","","config.VideoGameTests","testVideoGameSerializationXML","testVideoGameSerializationXML","Validates the response against the VideoGame XSD schema"
"passed","Fri Sep 18 09:41:19 UTC 2026","Fri Sep 18 09:41:20 UTC 2026","950","","GpathXMLTests","","GpathXMLTests","getListOfXMLNodesByFindAllOnAttribute","getListOfXMLNodesByFindAllOnAttribute","Filters games by category attribute using GPath findAll and returns matching names"
"passed","Fri Sep 18 09:41:24 UTC 2026","Fri Sep 18 09:41:25 UTC 2026","128","","config.VideoGameTests","","config.VideoGameTests","testVideoGameSerializationJSON","testVideoGameSerializationJSON","Serializes a VideoGame POJO to JSON and sends it as a POST body"
"passed","Fri Sep 18 09:41:26 UTC 2026","Fri Sep 18 09:41:26 UTC 2026","131","","config.VideoGameTests","","config.VideoGameTests","updateGame","updateGame","Updates an existing video game by ID"
"passed","Fri Sep 18 09:41:23 UTC 2026","Fri Sep 18 09:41:23 UTC 2026","176","","config.VideoGameParameterizedTests","","config.VideoGameParameterizedTests","getSingleGame_ReturnsValidFields[gameId = 5]","getSingleGame_ReturnsValidFields[gameId = 5]","Verifies each valid game ID returns 200 with non-null name and category"
"passed","Fri Sep 18 09:41:26 UTC 2026","Fri Sep 18 09:41:26 UTC 2026","165","","config.VideoGameTests","","config.VideoGameTests","convertJsonToPojo","convertJsonToPojo","Deserializes a JSON response into a VideoGame POJO"
"passed","Fri Sep 18 09:41:26 UTC 2026","Fri Sep 18 09:41:27 UTC 2026","150","","config.VideoGameTests","","config.VideoGameTests","getAllGamesVerifyListNotEmpty","getAllGamesVerifyListNotEmpty","Verifies the games list is not empty"
"passed","Fri Sep 18 09:41:20 UTC 2026","Fri Sep 18 09:41:20 UTC 2026","292","","GpathXMLTests","","GpathXMLTests","getAttribute","getAttribute","Reads the category attribute from the first XML item using List.item[0].@category"
"passed","Fri Sep 18 09:41:21 UTC 2026","Fri Sep 18 09:41:21 UTC 2026","173","","config.VideoGameNegativeParameterizedTests","","config.VideoGameNegativeParameterizedTests","getSingleGame_InvalidId_Returns404[gameId = -1]","getSingleGame_InvalidId_Returns404[gameId = -1]","Verifies that non-existent or invalid game IDs return 404"
"passed","Fri Sep 18 09:41:21 UTC 2026","Fri Sep 18 09:41:21 UTC 2026","171","","GpathXMLTests","","GpathXMLTests","getSingleNode","getSingleNode","Finds a specific game by name using GPath find and asserts the name matches"
"passed","Fri Sep 18 09:41:27 UTC 2026","Fri Sep 18 09:41:28 UTC 2026","154","","GpathJSONTest","","GpathJSONTest","extractSingleValueWithFind","extractSingleValueWithFind","Finds a game by ID using GPath find expression and returns its name"
"passed","Fri Sep 18 09:41:24 UTC 2026","Fri Sep 18 09:41:24 UTC 2026","368","","config.FootballNegativeTests","","config.FootballNegativeTests","getTeam_InvalidToken_ReturnsClientError","getTeam_InvalidToken_ReturnsClientError","Returns a client error, not 200, when calling with an invalid X-Auth-Token"
"passed","Fri Sep 18 09:41:26 UTC 2026","Fri Sep 18 09:41:26 UTC 2026","174","","config.VideoGameTests","","config.VideoGameTests","getSingleGame","getSingleGame","Retrieves a single video game by ID"
"passed","Fri Sep 18 09:41:23 UTC 2026","Fri Sep 18 09:41:24 UTC 2026","504","","config.VideoGameNegativeTests","","config.VideoGameNegativeTests","createGame_NullFields","createGame_NullFields","Returns 4xx when POSTing a VideoGame POJO with all null fields"
"passed","Fri Sep 18 09:41:27 UTC 2026","Fri Sep 18 09:41:27 UTC 2026","160","","GpathJSONTest","","GpathJSONTest","extractMutlipleValuesAndSumThem","extractMutlipleValuesAndSumThem","Sums all game IDs using GPath collect and sum expressions"
"passed","Fri Sep 18 09:41:17 UTC 2026","Fri Sep 18 09:41:19 UTC 2026","1817","","MyFirstVideoGame","","MyFirstVideoGame","myFirstTestWithEndpoint","myFirstTestWithEndpoint","Sends GET to /videogame using the static get() shorthand and logs the response"
"passed","Fri Sep 18 09:41:25 UTC 2026","Fri Sep 18 09:41:25 UTC 2026","135","","config.VideoGameTests","","config.VideoGameTests","getAllGames","getAllGames","Retrieves the full list of video games"
"passed","Fri Sep 18 09:41:24 UTC 2026","Fri Sep 18 09:41:24 UTC 2026","144","","config.VideoGameTests","","config.VideoGameTests","createNewGameByJSON","createNewGameByJSON","Creates a new video game using a JSON body"
"passed","Fri Sep 18 09:41:25 UTC 2026","Fri Sep 18 09:41:26 UTC 2026","130","","config.VideoGameTests","","config.VideoGameTests","catureResponseTime","catureResponseTime","Captures and prints the response time in milliseconds"
"passed","Fri Sep 18 09:41:27 UTC 2026","Fri Sep 18 09:41:27 UTC 2026","136","","config.VideoGameTests","","config.VideoGameTests","deleteGame","deleteGame","Deletes a video game by ID"
"passed","Fri Sep 18 09:41:21 UTC 2026","Fri Sep 18 09:41:21 UTC 2026","245","","config.VideoGameNegativeParameterizedTests","","config.VideoGameNegativeParameterizedTests","getSingleGame_InvalidId_Returns404[gameId = 0]","getSingleGame_InvalidId_Returns404[gameId = 0]","Verifies that non-existent or invalid game IDs return 404"
"passed","Fri Sep 18 09:41:25 UTC 2026","Fri Sep 18 09:41:25 UTC 2026","172","","config.VideoGameTests","","config.VideoGameTests","createNewGameByXML","createNewGameByXML","Creates a new video game using an XML body"
"passed","Fri Sep 18 09:41:20 UTC 2026","Fri Sep 18 09:41:20 UTC 2026","224","","GpathXMLTests","","GpathXMLTests","getListOfXMlNodes","getListOfXMlNodes","Extracts all game names as a list using List.item.name"
"passed","Fri Sep 18 09:41:25 UTC 2026","Fri Sep 18 09:41:25 UTC 2026","381","","config.VideoGameTests","","config.VideoGameTests","testVideoGameSchemaJSON","testVideoGameSchemaJSON","Validates the response against the VideoGame JSON schema"
"passed","Fri Sep 18 09:41:23 UTC 2026","Fri Sep 18 09:41:23 UTC 2026","156","","config.VideoGameNegativeTests","","config.VideoGameNegativeTests","getSingleGame_NotFound","getSingleGame_NotFound","Returns 404 when requesting a game ID that does not exist"
"passed","Fri Sep 18 09:41:22 UTC 2026","Fri Sep 18 09:41:22 UTC 2026","164","","config.VideoGameNegativeParameterizedTests","","config.VideoGameNegativeParameterizedTests","getSingleGame_InvalidId_Returns404[gameId = 2,147,483,647]","getSingleGame_InvalidId_Returns404[gameId = 2,147,483,647]","Verifies that non-existent or invalid game IDs return 404"
"passed","Fri Sep 18 09:41:27 UTC 2026","Fri Sep 18 09:41:27 UTC 2026","159","","GpathJSONTest","","GpathJSONTest","extractSingleValueWithHighestNumber","extractSingleValueWithHighestNumber","Returns the name of the game with the highest ID using GPath max expression"
"passed","Fri Sep 18 09:41:22 UTC 2026","Fri Sep 18 09:41:22 UTC 2026","287","","config.VideoGameParameterizedTests","","config.VideoGameParameterizedTests","getSingleGame_ReturnsValidFields[gameId = 1]","getSingleGame_ReturnsValidFields[gameId = 1]","Verifies each valid game ID returns 200 with non-null name and category"
